ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,30922,SUMMARY.TXT,0.27001,0.34658,0.30354,3

ROUGE-1+StopWordRemoval,30922,SUMMARY.TXT,0.25165,0.49734,0.33420,3

ROUGE-2+StopWordRemoval,30922,SUMMARY.TXT,0.08543,0.12989,0.10307,3

ROUGE-SU4+StopWordRemoval,30922,SUMMARY.TXT,0.13908,0.18515,0.15884,3

ROUGE-L+StopWordRemoval,30924,SUMMARY.TXT,0.31760,0.34434,0.33043,3

ROUGE-1+StopWordRemoval,30924,SUMMARY.TXT,0.35507,0.49939,0.41504,3

ROUGE-2+StopWordRemoval,30924,SUMMARY.TXT,0.12728,0.18464,0.15069,3

ROUGE-SU4+StopWordRemoval,30924,SUMMARY.TXT,0.18125,0.23162,0.20337,3

ROUGE-L+StopWordRemoval,32548,SUMMARY.TXT,0.33657,0.53001,0.41170,3

ROUGE-1+StopWordRemoval,32548,SUMMARY.TXT,0.34504,0.64305,0.44910,3

ROUGE-2+StopWordRemoval,32548,SUMMARY.TXT,0.17693,0.31034,0.22538,3

ROUGE-SU4+StopWordRemoval,32548,SUMMARY.TXT,0.23600,0.30854,0.26744,3

ROUGE-L+StopWordRemoval,31699,SUMMARY.TXT,0.37629,0.35072,0.36306,3

ROUGE-1+StopWordRemoval,31699,SUMMARY.TXT,0.38979,0.47619,0.42868,3

ROUGE-2+StopWordRemoval,31699,SUMMARY.TXT,0.17031,0.19169,0.18037,3

ROUGE-SU4+StopWordRemoval,31699,SUMMARY.TXT,0.22908,0.22948,0.22928,3

ROUGE-L+StopWordRemoval,31336,SUMMARY.TXT,0.25090,0.41561,0.31291,4

ROUGE-1+StopWordRemoval,31336,SUMMARY.TXT,0.23630,0.53108,0.32707,4

ROUGE-2+StopWordRemoval,31336,SUMMARY.TXT,0.11224,0.18767,0.14047,4

ROUGE-SU4+StopWordRemoval,31336,SUMMARY.TXT,0.17800,0.23338,0.20196,4

ROUGE-L+StopWordRemoval,30800,SUMMARY.TXT,0.29830,0.49189,0.37138,3

ROUGE-1+StopWordRemoval,30800,SUMMARY.TXT,0.21371,0.56796,0.31057,3

ROUGE-2+StopWordRemoval,30800,SUMMARY.TXT,0.11662,0.23706,0.15633,3

ROUGE-SU4+StopWordRemoval,30800,SUMMARY.TXT,0.15995,0.25257,0.19586,3

ROUGE-L+StopWordRemoval,30920,SUMMARY.TXT,0.31898,0.42797,0.36552,3

ROUGE-1+StopWordRemoval,30920,SUMMARY.TXT,0.32295,0.57044,0.41242,3

ROUGE-2+StopWordRemoval,30920,SUMMARY.TXT,0.14663,0.21459,0.17422,3

ROUGE-SU4+StopWordRemoval,30920,SUMMARY.TXT,0.23251,0.25803,0.24461,3

ROUGE-L+StopWordRemoval,30904,SUMMARY.TXT,0.34781,0.26894,0.30333,3

ROUGE-1+StopWordRemoval,30904,SUMMARY.TXT,0.39301,0.35569,0.37342,3

ROUGE-2+StopWordRemoval,30904,SUMMARY.TXT,0.24977,0.13917,0.17875,3

ROUGE-SU4+StopWordRemoval,30904,SUMMARY.TXT,0.28191,0.15524,0.20022,3

ROUGE-L+StopWordRemoval,30907,SUMMARY.TXT,0.29285,0.43590,0.35033,3

ROUGE-1+StopWordRemoval,30907,SUMMARY.TXT,0.28109,0.56148,0.37463,3

ROUGE-2+StopWordRemoval,30907,SUMMARY.TXT,0.12598,0.21154,0.15792,3

ROUGE-SU4+StopWordRemoval,30907,SUMMARY.TXT,0.18408,0.24854,0.21150,3

ROUGE-L+StopWordRemoval,32097,SUMMARY.TXT,0.31751,0.39010,0.35008,4

ROUGE-1+StopWordRemoval,32097,SUMMARY.TXT,0.35591,0.50064,0.41604,4

ROUGE-2+StopWordRemoval,32097,SUMMARY.TXT,0.15680,0.17921,0.16726,4

ROUGE-SU4+StopWordRemoval,32097,SUMMARY.TXT,0.22764,0.21688,0.22213,4

ROUGE-L+StopWordRemoval,32092,SUMMARY.TXT,0.35409,0.56888,0.43650,4

ROUGE-1+StopWordRemoval,32092,SUMMARY.TXT,0.35177,0.65573,0.45789,4

